season,team,win_ratio,team_PER
2014,ATL,0.463,10.8373817319962
2014,BKN,0.537,10.8067704181505
2014,BOS,0.305,10.7924595560762
2014,CHA,0.524,10.8641694720321
2014,CHI,0.585,10.9282984643776
2014,CLE,0.402,10.8934878406197
2014,DAL,0.598,10.9670129814213
2014,DEN,0.439,10.8002222907568
2014,DET,0.354,10.9085451869956
2014,GS,0.622,10.9539997048904
2014,HOU,0.659,10.9574091354918
2014,IND,0.683,10.9122282448634
2014,LAC,0.695,11.0149986737222
2014,LAL,0.329,10.6997575773305
2014,MEM,0.61,10.8418763956518
2014,MIA,0.659,10.9503156527594
2014,MIL,0.183,10.7355525721175
2014,MIN,0.488,10.9293485719643
2014,NO,0.415,10.7970076654895
2014,NY,0.451,10.8490875715638
2014,OKC,0.72,10.9561895549873
2014,ORL,0.28,10.8009270038651
2014,PHI,0.232,10.7766839846445
2014,PHX,0.585,10.9379941225638
2014,POR,0.659,10.9548651745095
2014,SA,0.756,10.905821695992
2014,SAC,0.341,10.9162183913997
2014,TOR,0.585,11.0538944594618
2014,UTAH,0.305,10.8336468099422
2014,WSH,0.537,10.9024720490666
2015,ATL,0.732,10.8990407774567
2015,BKN,0.463,10.8875749316565
2015,BOS,0.488,10.8871211534769
2015,CHA,0.402,10.7665346063659
2015,CHI,0.61,10.926440832815
2015,CLE,0.646,11.0166390495939
2015,DAL,0.61,10.9561770636672
2015,DEN,0.366,10.8265305078108
2015,DET,0.39,10.9292995432884
2015,GS,0.817,10.9713106839747
2015,HOU,0.683,10.9238324839634
2015,IND,0.463,10.7334905193854
2015,LAC,0.683,11.0087202922156
2015,LAL,0.256,10.736682513311
2015,MEM,0.671,10.9305607006351
2015,MIA,0.451,10.8470775626707
2015,MIL,0.5,10.8173760454156
2015,MIN,0.195,10.8088575548123
2015,NO,0.549,10.9189515838547
2015,NY,0.207,10.6029924160212
2015,OKC,0.549,10.9928408291914
2015,ORL,0.305,10.7647550642777
2015,PHI,0.22,10.5880488729482
2015,PHX,0.476,11.0080533935345
2015,POR,0.622,10.9179314028337
2015,SA,0.671,10.8809550976122
2015,SAC,0.354,10.7931369600383
2015,TOR,0.598,10.960271674772
2015,UTAH,0.463,10.9151451287724
2015,WSH,0.561,10.8158309608615
2016,ATL,0.585,10.8859472455695
2016,BKN,0.256,10.7523373779649
2016,BOS,0.585,10.8891494233701
2016,CHA,0.585,10.9036695399276
2016,CHI,0.512,10.7973447305303
2016,CLE,0.695,10.9212998502124
2016,DAL,0.512,10.8076220509046
2016,DEN,0.402,10.7946846351793
2016,DET,0.537,10.9350388736617
2016,GS,0.89,10.9764818714955
2016,HOU,0.5,10.8760084901573
2016,IND,0.549,10.840334657617
2016,LAC,0.646,10.9350376511719
2016,LAL,0.207,10.726137284655
2016,MEM,0.512,10.7987834037469
2016,MIA,0.585,10.9552746222056
2016,MIL,0.402,10.8654434378852
2016,MIN,0.354,10.8888531114142
2016,NO,0.366,10.7674896896583
2016,NY,0.39,10.8114663011712
2016,OKC,0.671,11.0150437898812
2016,ORL,0.427,10.9035402262223
2016,PHI,0.122,10.7074864222854
2016,PHX,0.28,10.6689704365305
2016,POR,0.537,10.9112622915617
2016,SA,0.817,10.8997689611605
2016,SAC,0.402,10.8541467119619
2016,TOR,0.683,10.9195612285125
2016,UTAH,0.488,10.8126973104336
2016,WSH,0.5,10.8482959314731
2017,ATL,0.524,10.8738264958786
2017,BKN,0.244,10.6620387933105
2017,BOS,0.646,10.8733999357933
2017,CHA,0.439,10.8806848007536
2017,CHI,0.5,10.8416881097468
2017,CLE,0.622,10.9751951305406
2017,DAL,0.402,10.7327867587272
2017,DEN,0.488,10.9343588622789
2017,DET,0.451,10.8343232981816
2017,GS,0.817,10.9860154480018
2017,HOU,0.671,11.012093420179
2017,IND,0.512,10.8785129764077
2017,LAC,0.622,10.9408594618841
2017,LAL,0.317,10.7332967501406
2017,MEM,0.524,10.8107052589557
2017,MIA,0.5,10.8561353839364
2017,MIL,0.512,10.8683791092301
2017,MIN,0.378,10.9306059362511
2017,NO,0.415,10.9423029722672
2017,NY,0.378,10.8215996254603
2017,OKC,0.573,10.9776299382888
2017,ORL,0.354,10.8593349877839
2017,PHI,0.341,10.670754794596
2017,PHX,0.293,10.7461326976521
2017,POR,0.5,10.932836589785
2017,SA,0.744,10.8855687227074
2017,SAC,0.39,10.7719423092323
2017,TOR,0.622,10.9937559168431
2017,UTAH,0.622,10.8346554986169
2017,WSH,0.598,11.0019220887778
2018,ATL,0.293,10.7327591819807
2018,BKN,0.341,10.7694716670505
2018,BOS,0.671,10.8466163994724
2018,CHA,0.439,10.8507202835503
2018,CHI,0.329,10.7366721398386
2018,CLE,0.61,10.9624828523166
2018,DAL,0.293,10.7849471505405
2018,DEN,0.561,10.9406166042718
2018,DET,0.476,10.8953706647277
2018,GS,0.707,10.857921052075
2018,HOU,0.793,10.9559713874932
2018,IND,0.585,10.9459004251159
2018,LAC,0.512,10.9121850140113
2018,LAL,0.427,10.8510183978755
2018,MEM,0.268,10.6208964578194
2018,MIA,0.537,10.858353918799
2018,MIL,0.537,10.939909240867
2018,MIN,0.573,11.0175860256472
2018,NO,0.585,10.964808787291
2018,NY,0.354,10.7725290661732
2018,OKC,0.585,10.9300297052331
