Season,RK,PLAYER,TEAM,GP,MPG,TS,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
2018,1,Naz Mitrou-Long,UTAH,1,1,1.5,0,0,40.7,0,0,0,133.95,0,0
2018,2,Anthony Brown,MIN,1,4,1.5,50,0,13.5,0,0,0,41.91,1.9,0.1
2018,3,Edmond Sumner,IND,1,2,1,0,0,20.3,0,56.1,28.2,39.93,0.9,0
2018,4,Vince Shamar Hunter,MEM,4,1.8,0.6,0,16.7,35.1,32.3,16.9,24.8,35.96,0,0
2018,5,David Stockton,UTAH,3,3,1.05,0,17.4,26.1,0,0,0,33.91,3.1,0.1
2018,6,James Harden,HOU,72,35.4,0.619,23.2,11.6,35.9,1.8,15.2,8.6,29.87,718.5,23.9
2018,7,Anthony Davis,NO,75,36.4,0.612,8.4,7.9,27.7,7.7,24.8,16.5,28.98,711.4,23.7
2018,8,LeBron James,CLE,82,36.9,0.621,25.7,11.9,31.7,3.7,22.3,13.1,28.65,819.5,27.3
2018,9,Stephen Curry,GS,51,32,0.675,21.2,10.5,30,2.7,14.4,9,28.32,421.7,14.1
2018,10,Giannis Antetokounmpo,MIL,75,36.7,0.598,15.9,9.8,29.8,6.7,25.3,16,27.37,652.7,21.8
2018,11,Monte Morris,DEN,3,8.3,0.727,47,6.7,16.4,0,9,4.5,27.14,6,0.2
2018,12,MarShon Brooks,MEM,7,27.6,0.629,16.3,10.4,28.9,5.3,8,6.6,26.4,45.8,1.5
2018,13,Kevin Durant,GS,68,34.2,0.64,18.6,10.5,29.1,1.6,19.5,11.2,26.05,539.7,18
2018,14,Kawhi Leonard,SA,9,23.3,0.572,12.7,9.7,29.4,3.1,19.1,11.1,26.03,48.7,1.6
2018,15,Boban Marjanovic,DET,39,8.7,0.616,8.8,14.5,29.7,15.6,31.4,23.5,25.98,77.6,2.6
2018,15,Boban Marjanovic,LAC,39,8.7,0.616,8.8,14.5,29.7,15.6,31.4,23.5,25.98,77.6,2.6
2018,16,Jonathan Gibson,BOS,4,10,0.739,13.3,10,27.7,0,8.1,4.1,25.49,8.7,0.3
2018,17,Damian Lillard,POR,73,36.6,0.594,20.6,8.8,30.5,2.6,10.6,6.6,25.19,565.4,18.8
2018,18,LaMarcus Aldridge,SA,75,33.5,0.57,8.5,6.2,27.5,10.8,17.3,14,25.12,510.2,17
2018,19,Kyrie Irving,BOS,60,32.2,0.61,18.6,8.5,30.3,1.9,10.8,6.4,25.03,404.4,13.5
2018,20,Karl-Anthony Towns,MIN,82,35.6,0.646,11.7,9.3,21.9,9.3,30.9,20,24.99,626.6,20.9
2018,21,Russell Westbrook,OKC,80,36.4,0.524,26.1,12.1,35.7,5.6,25.7,15.3,24.8,600,20
2018,22,Montrezl Harrell,LAC,76,17,0.647,9.4,8.6,22.5,8.9,17,13,24.73,255.4,8.5
2018,23,Clint Capela,HOU,74,27.5,0.65,7.1,10.7,18,13.5,30.8,22.2,24.55,423.6,14.1
2018,24,Nikola Jokic,DEN,75,32.5,0.603,25.2,11.6,24.9,9,27.9,18.5,24.52,507,16.9
2018,25,Chris Paul,HOU,58,31.8,0.604,30.9,8.6,25.4,2.3,16.7,9.5,24.39,369.2,12.3
2018,26,Ante Zizic,CLE,32,6.7,0.746,5.2,11.5,17.2,12.8,18.6,15.7,24.23,40.7,1.4
2018,27,Hassan Whiteside,MIA,54,25.3,0.573,6.7,11.4,22.9,14.3,36.6,25.4,24.18,276.5,9.2
2018,28,Enes Kanter,NY,71,25.8,0.63,10.3,12,20.9,16.6,30.6,23.6,24.02,366.6,12.2
2018,29,Jimmy Butler,MIN,59,36.7,0.59,19.1,7.2,24.6,4.2,12.7,8.4,23.7,426.4,14.2
2018,30,Victor Oladipo,IND,75,34,0.577,15.8,10.7,29.1,2.1,15.1,8.6,23.12,480.7,16
2018,31,Joel Embiid,PHI,63,30.3,0.573,11.7,13.8,31.8,8.4,29.7,19.4,22.95,352.5,11.7
2018,32,Andre Drummond,DET,78,33.7,0.555,15.9,13.4,20.6,16.4,36.4,26.2,22.94,483.5,16.1
2018,33,DeMarcus Cousins,NO,48,36.2,0.583,16.7,15.8,30.5,6.8,30.9,19.2,22.66,312.5,10.4
2018,34,Jameel Warney,DAL,3,9,0.599,0,6.6,23,15.9,21.3,18.5,22.63,0,0
2018,35,Jonas Valanciunas,TOR,77,22.4,0.628,8.3,11.8,21.3,12.1,30.3,21.4,22.52,307.3,10.2
2018,36,Kevin Love,CLE,59,28,0.614,9.9,8.7,23.4,7,29.8,18.6,22.44,291.8,9.7
2018,37,JaVale McGee,GS,65,9.5,0.641,10.9,8.9,17.8,11.5,18.7,15.4,22.39,108.2,3.6
2018,38,Ike Anigbogu,IND,11,2.7,0.558,0,14.7,18.4,19,15,16.9,21.58,4.9,0.2
2018,39,Greg Monroe,BOS,51,20.4,0.598,17.6,14.5,24.2,0,0,0,21.24,165.2,5.5
2018,39,Greg Monroe,MIL,51,20.4,0.598,17.6,14.5,24.2,0,0,0,21.24,165.2,5.5
2018,39,Greg Monroe,PHX,51,20.4,0.598,17.6,14.5,24.2,0,0,0,21.24,165.2,5.5
2018,40,Willy Hernangomez,NY,48,10.3,0.604,12.2,12.9,21.8,13.4,27.2,20.2,21.2,78.3,2.6
2018,40,Willy Hernangomez,CHA,48,10.3,0.604,12.2,12.9,21.8,13.4,27.2,20.2,21.2,78.3,2.6
2018,41,Tyreke Evans,MEM,52,30.9,0.561,20.9,9.1,28.2,3.1,16.3,9.5,21.16,255.6,8.5
2018,42,Trey Burke,NY,36,21.8,0.563,27.3,6.9,26,1.8,8.2,5,21.11,118.5,3.9
2018,43,DeMar DeRozan,TOR,80,33.9,0.555,18.5,7.8,29,2.5,10.4,6.5,21.1,429,14.3
2018,44,David West,GS,73,13.7,0.6,21.9,12.7,21.1,7.7,18.2,13.3,21.01,141.8,4.7
