season,team,win
2014,SA,62
2014,OKC,59
2014,LAC,57
2014,IND,56
2014,HOU,54
2014,POR,54
2014,MIA,54
2014,GS,51
2014,MEM,50
2014,DAL,49
2014,CHI,48
2014,PHX,48
2014,TOR,48
2014,WSH,44
2014,BKN,44
2014,CHA,43
2014,MIN,40
2014,ATL,38
2014,NY,37
2014,DEN,36
2014,NO,34
2014,CLE,33
2014,DET,29
2014,SAC,28
2014,LAL,27
2014,UTAH,25
2014,BOS,25
2014,ORL,23
2014,PHI,19
2014,MIL,15
2015,GS,67
2015,ATL,60
2015,LAC,56
2015,HOU,56
2015,SA,55
2015,MEM,55
2015,CLE,53
2015,POR,51
2015,CHI,50
2015,DAL,50
2015,TOR,49
2015,WSH,46
2015,OKC,45
2015,NO,45
2015,MIL,41
2015,BOS,40
2015,PHX,39
2015,IND,38
2015,BKN,38
2015,UTAH,38
2015,MIA,37
2015,CHA,33
2015,DET,32
2015,DEN,30
2015,SAC,29
2015,ORL,25
2015,LAL,21
2015,PHI,18
2015,NY,17
2015,MIN,16
2016,GS,73
2016,SA,67
2016,CLE,57
2016,TOR,56
2016,OKC,55
2016,LAC,53
2016,MIA,48
2016,BOS,48
2016,CHA,48
2016,ATL,48
2016,IND,45
2016,DET,44
2016,POR,44
2016,MEM,42
2016,DAL,42
2016,CHI,42
2016,HOU,41
2016,WSH,41
2016,UTAH,40
2016,ORL,35
2016,SAC,33
2016,MIL,33
2016,DEN,33
2016,NY,32
2016,NO,30
2016,MIN,29
2016,PHX,23
2016,BKN,21
2016,LAL,17
2016,PHI,10
2017,GS,67
2017,SA,61
2017,HOU,55
2017,BOS,53
2017,UTAH,51
2017,TOR,51
2017,LAC,51
2017,CLE,51
2017,WSH,49
2017,OKC,47
2017,ATL,43
2017,MEM,43
2017,MIL,42
2017,IND,42
2017,POR,41
2017,CHI,41
2017,MIA,41
2017,DEN,40
2017,DET,37
2017,CHA,36
2017,NO,34
2017,DAL,33
2017,SAC,32
2017,MIN,31
2017,NY,31
2017,ORL,29
2017,PHI,28
2017,LAL,26
2017,PHX,24
2017,BKN,20
2018,HOU,65
2018,TOR,59
2018,GS,58
2018,BOS,55
2018,PHI,52
2018,CLE,50
2018,POR,49
2018,OKC,48
2018,IND,48
2018,NO,48
2018,UTAH,48
2018,SA,47
2018,MIN,47
2018,DEN,46
2018,MIA,44
2018,MIL,44
2018,WSH,43
2018,LAC,42
2018,DET,39
2018,CHA,36
2018,LAL,35
2018,NY,29
2018,BKN,28
2018,CHI,27
2018,SAC,27
2018,ORL,25
2018,ATL,24
2018,DAL,24
2018,MEM,22
2018,PHX,21
