season,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2018,HOU,39.6,85.6,46.2,10.1,28.8,35.1,14.6,19.6,74.6,8.7,33.4,42.0,22.4,14.5,7.4,4.4,4.8,20.4,19.5,103.9,-8.5
2018,TOR,38.4,85.6,44.9,8.9,25,35.7,18.2,23.7,76.7,9.8,32.6,42.4,21.8,14.3,7.2,4.9,6.1,19.9,21.7,103.9,-7.8
2018,GS,40.2,90,44.7,10.4,29.2,35.7,16.7,22,75.8,10.9,31.6,42.5,23.6,14.3,8.7,3.7,7.5,18.5,19.6,107.5,-6
2018,BOS,37.4,85,44,9.4,27.7,33.9,16.3,21.3,76.3,9.6,34.2,43.8,21.3,14.1,7.2,4.4,4.5,19.2,19.7,100.4,-3.6
2018,PHI,38,87.6,43.4,10.1,29.6,34.2,19.1,25.6,74.5,10.0,32.2,42.2,21.7,14.3,8.5,5.1,5.1,20.4,22.1,105.3,-4.5
2018,CLE,41.8,88.3,47.4,11.7,31.7,36.8,14.6,19.4,75.6,9.9,33.7,43.6,25.9,13.5,7.5,4.1,3.8,20.7,18.6,109.9,-0.9
2018,POR,38.4,85.9,44.7,9.7,26.6,36.4,16.6,22,75.5,9.3,33.6,42.9,20.2,12.6,7.3,5.1,5.2,19.1,19.5,103.0,-2.6
2018,IND,39.4,84.8,46.5,10.6,30.4,34.9,14.8,19.5,75.7,10.2,32.7,43.0,23.2,15.5,7.0,5.2,4.1,18.5,18.8,104.2,-1.4
2018,OKC,38.5,84,45.8,11.2,30.6,36.7,16.2,21.1,76.9,9.5,32.6,42.2,23.3,16.0,7.7,4.6,5.0,21.3,20.2,104.4,-3.4
2018,NO,41.7,91.9,45.4,10.9,30.6,35.5,16.1,20.5,78.4,10.8,34.7,45.5,23.7,14.5,8.2,4.2,5.9,20.4,19.1,110.4,-1.3
2018,UTAH,37.3,83,44.9,9.5,26,36.5,15.8,20.5,77.1,8.7,33.0,41.6,20.0,14.9,8.3,4.6,5.1,20.5,19.6,99.8,-4.3
2018,SA,38.2,84.3,45.3,9.1,26.3,34.8,14.3,18.9,75.9,9.2,33.3,42.5,21.8,14.1,7.6,3.9,5.6,19.7,17.2,99.8,-2.9
2018,MIN,40.2,84.7,47.5,10.9,29.6,36.6,16,20.5,77.9,9.8,32.0,41.8,23.9,15.1,6.5,4.7,4.2,20.9,18.2,107.3,-2.2
2018,DEN,41.3,86.7,47.6,10.9,28.8,37.8,15,20.4,73.8,9.8,31.9,41.6,24.7,13.8,8.0,4.8,4.9,20.7,18.7,108.5,-1.5
2018,MIA,37.7,83.8,45,9.6,26.6,36,18,23,78.3,9.1,34.0,43.1,21.0,14.1,7.5,4.6,5.3,19.4,20.1,102.9,-0.5
2018,MIL,39.1,83.7,46.8,10.1,27.1,37.2,18.4,23.5,78.3,10.0,32.8,42.7,23.6,15.6,7.1,4.5,5.4,19.9,21.4,106.8,0.3
2018,WSH,39,84.4,46.2,10.2,29.2,34.9,17.9,23.5,76.1,9.8,32.7,42.5,22.3,14.9,7.8,4.7,4.3,20,21.3,106.0,-0.6
