season,team,pct,avg
2016,LAL,0.207,27.6666666666666667
2015,CHA,0.402,26.6666666666666667
2018,WSH,0.524,27.6666666666666667
2016,HOU,0.5,28.0000000000000000
2014,BOS,0.305,25.1666666666666667
2015,MIL,0.5,24.7500000000000000
2015,CHI,0.61,27.9166666666666667
2018,BKN,0.341,25.0833333333333333
2016,TOR,0.683,26.5000000000000000
2016,IND,0.549,26.0833333333333333
2016,GS,0.89,27.8333333333333333
2016,SA,0.817,30.1666666666666667
2018,HOU,0.793,29.3333333333333333
2017,DET,0.451,25.8333333333333333
2015,WSH,0.561,29.0833333333333333
2014,MEM,0.61,28.0000000000000000
2016,ORL,0.427,24.9166666666666667
2014,MIL,0.183,25.5833333333333333
2016,UTAH,0.488,24.2500000000000000
2015,PHI,0.22,22.8333333333333333
2016,DEN,0.402,25.2500000000000000
2015,NO,0.549,25.1666666666666667
2018,LAC,0.512,26.0000000000000000
2016,CLE,0.695,29.0833333333333333
2017,DAL,0.402,28.2500000000000000
2016,OKC,0.671,26.5000000000000000
2018,PHX,0.256,24.5000000000000000
2017,SAC,0.39,28.1666666666666667
2014,NO,0.415,24.7500000000000000
2017,UTAH,0.622,26.6666666666666667
2015,MEM,0.671,29.9166666666666667
2018,POR,0.598,25.1666666666666667
2016,MIL,0.402,23.5833333333333333
2014,CHA,0.524,25.0833333333333333
2016,ATL,0.585,27.3333333333333333
2018,TOR,0.72,25.3333333333333333
2015,SA,0.671,29.8333333333333333
2018,IND,0.585,25.7500000000000000
2017,WSH,0.598,26.4166666666666667
2014,GS,0.622,27.0000000000000000
2018,ATL,0.293,25.9166666666666667
2017,MEM,0.524,29.0833333333333333
2015,GS,0.817,27.1666666666666667
2015,DEN,0.366,26.4166666666666667
2014,CHI,0.585,27.9166666666666667
2014,DEN,0.439,25.5000000000000000
2016,PHX,0.28,25.9166666666666667
2014,MIA,0.659,30.7500000000000000
2018,ORL,0.305,26.1666666666666667
2017,TOR,0.622,25.4166666666666667
2018,SAC,0.329,27.1666666666666667
2018,PHI,0.634,26.5000000000000000
2018,NY,0.354,26.1666666666666667
2014,MIN,0.488,26.0833333333333333
2016,MIN,0.354,25.8333333333333333
2014,POR,0.659,25.0833333333333333
2015,MIN,0.195,24.8333333333333333
2015,HOU,0.683,28.5000000000000000
2015,IND,0.463,28.3333333333333333
2015,BOS,0.488,24.9166666666666667
2017,CHA,0.439,27.2500000000000000
2015,ATL,0.732,27.0833333333333333
2018,MEM,0.268,25.9166666666666667
2018,CLE,0.61,30.3333333333333333
2016,LAC,0.646,30.0833333333333333
2015,TOR,0.598,26.5833333333333333
2018,DET,0.476,26.0000000000000000
2017,GS,0.817,28.2500000000000000
2014,DET,0.354,25.9166666666666667
2016,POR,0.537,24.0833333333333333
2015,SAC,0.354,26.1666666666666667
2014,PHX,0.585,25.4166666666666667
2017,DEN,0.488,24.7500000000000000
2015,DET,0.39,26.1666666666666667
2016,PHI,0.122,23.5833333333333333
2015,MIA,0.451,28.6666666666666667
2017,NO,0.415,26.0833333333333333
2017,HOU,0.671,26.1666666666666667
2017,NY,0.378,26.9166666666666667
2016,CHA,0.585,25.9166666666666667
2017,BOS,0.646,26.1666666666666667
2014,PHI,0.232,23.4166666666666667
2016,DAL,0.512,29.8333333333333333
2017,ORL,0.354,25.8333333333333333
2014,HOU,0.659,25.6666666666666667
2018,MIA,0.537,26.9166666666666667
2018,LAL,0.427,23.9166666666666667
2016,NO,0.366,26.7500000000000000
2016,WSH,0.5,27.4166666666666667
2014,WSH,0.537,27.4166666666666667
2017,SA,0.744,29.6666666666666667
2015,DAL,0.61,29.9166666666666667
2014,BKN,0.537,30.4166666666666667
2018,SA,0.573,29.5000000000000000
2015,OKC,0.549,25.8333333333333333
2014,LAC,0.695,28.5833333333333333
2015,ORL,0.305,25.5000000000000000
2014,ATL,0.463,27.3333333333333333
2017,CHI,0.5,26.5000000000000000
2016,BOS,0.585,25.5833333333333333
2015,UTAH,0.463,23.7500000000000000
2018,CHI,0.329,24.3333333333333333
2016,CHI,0.512,27.6666666666666667
2014,SA,0.756,28.7500000000000000
2017,POR,0.5,24.7500000000000000
2015,BKN,0.463,28.1666666666666667
2014,NY,0.451,28.7500000000000000
2014,LAL,0.329,26.3333333333333333
2015,LAC,0.683,28.4166666666666667
2017,IND,0.512,27.7500000000000000
2017,CLE,0.622,29.5833333333333333
2017,MIA,0.5,25.7500000000000000
2016,SAC,0.402,26.0833333333333333
2016,NY,0.39,26.8333333333333333
2017,MIN,0.378,24.7500000000000000
2017,MIL,0.512,26.0000000000000000
2015,CLE,0.646,27.7500000000000000
2018,BOS,0.671,24.8333333333333333
2017,PHX,0.293,26.0000000000000000
2016,BKN,0.256,27.0000000000000000
2017,ATL,0.524,28.0833333333333333
2016,MEM,0.512,30.8333333333333333
2017,OKC,0.573,25.0000000000000000
2017,BKN,0.244,25.9166666666666667
2018,GS,0.707,28.8333333333333333
2014,IND,0.683,28.0833333333333333
2018,DAL,0.293,28.4166666666666667
2018,CHA,0.439,25.6666666666666667
2018,OKC,0.585,26.9166666666666667
2017,LAC,0.622,30.2500000000000000
2014,TOR,0.585,26.6666666666666667
2014,ORL,0.28,24.5833333333333333
2017,PHI,0.341,24.3333333333333333
2018,NO,0.585,28.0833333333333333
2018,UTAH,0.585,27.0000000000000000
2018,MIL,0.537,26.2500000000000000
2014,DAL,0.598,29.0833333333333333
2015,POR,0.622,26.8333333333333333
2016,MIA,0.585,28.2500000000000000
2018,MIN,0.573,27.4166666666666667
2015,LAL,0.256,27.5833333333333333
2014,OKC,0.72,26.9166666666666667
2014,UTAH,0.305,25.0000000000000000
2014,CLE,0.402,25.3333333333333333
2015,PHX,0.476,25.0833333333333333
2017,LAL,0.317,25.0000000000000000
2016,DET,0.537,25.7500000000000000
2015,NY,0.207,27.9166666666666667
2014,SAC,0.341,25.2500000000000000
2018,DEN,0.561,25.5000000000000000
