Season,TEAM,win,loss,pct,home,away,div,conf,ppg,opp_ppg,diff,RK,PLAYER,GP,MPG,TS,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,23,Tim Duncan,74,29.2,0.535,15.4,11.2,23.5,8.6,28.3,18.8,21.4,318.8,10.6
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,31,Manu Ginobili,68,22.8,0.59,25.7,12.2,24.2,2.3,12,7.3,20.06,221.2,7.4
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,38,Kawhi Leonard,66,29.1,0.602,14.6,8.8,17,4.6,18.9,12.1,19.43,256.3,8.5
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,49,Tony Parker,68,29.4,0.555,24.9,9.7,25.9,1,7.5,4.4,19,238.5,7.9
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,55,Patty Mills,81,18.9,0.588,16.3,6.9,21.2,2.6,9.6,6.2,18.8,177.7,5.9
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,,Tiago Splitter,59,21.5,0.572,15.3,12.8,16.5,11.4,20.5,16.1,16.58,113.4,3.8
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,153,Marco Belinelli,80,25.2,0.605,17.4,9.3,17.9,1,11.2,6.3,15.09,138.2,4.6
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,162,Cory Joseph,68,13.8,0.558,24.6,9.3,16.5,4,8.7,6.4,14.72,52,1.7
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,181,Boris Diaw,79,25,0.578,23,12.6,16.4,4.4,13.8,9.3,14.12,77.2,2.6
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,,Danny Green,68,24.3,0.58,14.6,10.7,15.5,1.8,13.4,7.8,13.9,83.7,2.8
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,230,Nando De Colo,47,10.5,0.526,24.2,13,17.7,3.3,13.3,8.4,13.11,15.6,0.5
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,,Matt Bonner,61,11.3,0.582,14.3,7.4,11.3,2.7,17.9,10.6,11.27,-2.4,-0.1
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,315,Jeff Ayres,73,13,0.605,18.7,19.6,11.7,11,19.2,15.3,11.16,8,0.3
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,,Austin Daye,22,6.7,0.456,9.4,5.9,22.5,4,16.4,10.4,11.1,1.3,0
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,358,Aron Baynes,53,9.3,0.467,14,14.9,17.8,13.6,19.4,16.6,9.76,-12.7,-0.4
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,426,Othyus Jeffers,6,7.8,0.58,10.2,10.2,8.6,2.4,18.6,10.7,6.94,-2.5,-0.1
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,445,Shannon Brown,29,8.7,0.419,8.8,17.6,15.4,3.2,9.7,6.4,4.78,-23.3,-0.8
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,448,Malcolm Thomas,8,7.9,0.444,7.2,32.3,15.6,9,29.5,19.1,4.67,-6.4,-0.2
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,449,Damion James,5,10,0.304,21.6,7.2,9.4,2.4,23.8,13.5,4.14,-4.7,-0.2
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,3,Kevin Durant,81,38.5,0.635,16.1,10.3,31.2,2.2,18.6,10.8,29.9,903.8,30.1
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,10,Russell Westbrook,46,30.7,0.545,22.5,12.5,33.5,4.6,15.9,10.5,24.74,289.6,9.7
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,35,Serge Ibaka,81,32.9,0.576,6.7,9.7,18,10,19.6,15,19.66,324.8,10.8
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,,Reggie Williams,3,5.7,0.611,8.3,16.7,26.2,0,0,0,16.54,1.5,0.1
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,139,Reggie Jackson,80,28.5,0.527,22.2,11.3,22,2.2,12.8,7.8,15.43,150.6,5
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,212,Jeremy Lamb,78,19.7,0.522,14.1,7.5,18.8,2.1,11.3,6.9,13.44,67.4,2.2
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,275,Caron Butler,56,25.3,0.512,11.5,8.4,22.4,1.7,16.6,9.2,12.24,36.8,1.2
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,295,Nick Collison,81,16.7,0.599,22.8,15.5,11.3,10.2,14.1,12.2,11.84,6.9,0.2
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,311,Steven Adams,81,14.8,0.541,12,19.8,10.9,14.1,17.1,15.6,11.25,11.5,0.4
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,,Thabo Sefolosha,61,26,0.517,18.1,10.6,11.3,3.7,11.5,7.8,10.42,-2,-0.1
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,,Perry Jones,62,12.3,0.541,10.5,8.5,11.8,4.3,12.1,8.4,10.14,-4.2,-0.1
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,351,Derek Fisher,81,17.6,0.542,21,8.8,13.2,1,8.3,4.8,10.09,-19.4,-0.6
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,380,Andre Roberson,40,10,0.518,14.1,17.9,9.5,10.7,15.6,13.3,9.03,-8.7,-0.3
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,432,Kendrick Perkins,62,19.5,0.474,17.7,23.7,10.9,8.1,19.9,14.3,6.32,-77.1,-2.6
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,461,Hasheem Thabeet,23,8.3,0.536,2.5,34.8,8.1,5.6,17.4,11.7,2.58,-23,-0.8
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,472,Ryan  Gomes,5,6.8,0.375,10,10,10.8,0,12.7,6.6,0.19,0,0
