Season,TEAM,win,loss,pct,home,away,div,conf,ppg,opp_ppg,diff,RK,PLAYER,GP,MPG,TS,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,21,Tim Duncan,74,29.2,0.535,15.4,11.2,23.5,8.6,28.3,18.8,21.4,318.8,10.6
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,29,Manu Ginobili,68,22.8,0.59,25.7,12.2,24.2,2.3,12,7.3,20.06,221.2,7.4
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,36,Kawhi Leonard,66,29.1,0.602,14.6,8.8,17,4.6,18.9,12.1,19.43,256.3,8.5
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,45,Tony Parker,68,29.4,0.555,24.9,9.7,25.9,1,7.5,4.4,19,238.5,7.9
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,50,Patty Mills,81,18.9,0.588,16.3,6.9,21.2,2.6,9.6,6.2,18.8,177.7,5.9
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,,Tiago Splitter,59,21.5,0.572,15.3,12.8,16.5,11.4,20.5,16.1,16.58,113.4,3.8
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,136,Marco Belinelli,80,25.2,0.605,17.4,9.3,17.9,1,11.2,6.3,15.09,138.2,4.6
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,144,Cory Joseph,68,13.8,0.558,24.6,9.3,16.5,4,8.7,6.4,14.72,52,1.7
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,163,Boris Diaw,79,25,0.578,23,12.6,16.4,4.4,13.8,9.3,14.12,77.2,2.6
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7,,Danny Green,68,24.3,0.58,14.6,10.7,15.5,1.8,13.4,7.8,13.9,83.7,2.8
