Season,TEAM,win,loss,pct,home,away,div,conf,ppg,opp_ppg,diff
2014,SA,62,20,0.756,32-9,30-11,12-4,38-14,105.4,97.6,7.7
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8
2014,MEM,50,32,0.61,27-14,23-18,4-12,29-23,96.1,94.6,1.6
2014,DAL,49,33,0.598,26-15,23-18,9-7,29-23,104.8,102.4,2.4
2014,TOR,48,34,0.585,26-15,22-19,11-5,32-20,101.3,98,3.2
2014,CHI,48,34,0.585,27-14,21-20,11-5,35-17,93.7,91.8,1.9
2014,PHX,48,34,0.585,26-15,22-19,8-8,28-24,105.2,102.6,2.6
2014,WSH,44,38,0.537,22-19,22-19,10-6,33-19,100.7,99.4,1.3
2014,BKN,44,38,0.537,28-13,16-25,9-7,26-26,98.5,99.5,-1
2014,,43,39,0.524,25-16,18-23,6-10,30-22,96.9,97.1,-0.2
2014,MIN,40,42,0.488,24-17,16-25,7-9,23-29,106.9,104.3,2.7
2014,ATL,38,44,0.463,24-17,14-27,8-8,28-24,101,101.5,-0.5
2014,NY,37,45,0.451,19-22,18-23,10-6,26-26,98.6,99.4,-0.8
2014,DEN,36,46,0.439,22-19,14-27,5-11,20-32,104.4,106.5,-2.1
2014,NO,34,48,0.415,22-19,12-29,4-12,15-37,99.7,102.4,-2.7
2014,CLE,33,49,0.402,19-22,14-27,7-9,21-31,98.2,101.5,-3.3
2014,DET,29,53,0.354,17-24,12-29,6-10,23-29,101,104.7,-3.7
2014,SAC,28,54,0.341,17-24,11-30,3-13,15-37,100.5,103.4,-2.9
2014,LAL,27,55,0.329,14-27,13-28,6-10,15-37,103,109.2,-6.3
2014,BOS,25,57,0.305,16-25,9-32,5-11,21-31,96.2,100.7,-4.5
2014,UTAH,25,57,0.305,16-25,9-32,4-12,13-39,95,102.2,-7.2
2014,ORL,23,59,0.28,19-22,4-37,4-12,17-35,96.5,102,-5.4
2014,PHI,19,63,0.232,10-31,9-32,5-11,14-38,99.5,109.9,-10.5
2014,MIL,15,67,0.183,10-31,5-36,4-12,12-40,95.5,103.7,-8.2
2015,GS,67,15,0.817,39-2,28-13,13-3,42-10,110,99.9,10.1
2015,ATL,60,22,0.732,35-6,25-16,12-4,38-14,102.5,97.1,5.4
2015,HOU,56,26,0.683,30-11,26-15,8-8,33-19,103.9,100.5,3.4
2015,LAC,56,26,0.683,30-11,26-15,12-4,37-15,106.7,100.1,6.6
2015,MEM,55,27,0.671,31-10,24-17,9-7,35-17,98.3,95.1,3.2
2015,SA,55,27,0.671,33-8,22-19,8-8,32-20,103.2,97,6.2
2015,CLE,53,29,0.646,31-10,22-19,11-5,35-17,103.1,98.7,4.5
2015,POR,51,31,0.622,32-9,19-22,11-5,31-21,102.8,98.6,4.2
2015,CHI,50,32,0.61,27-14,23-18,8-8,33-19,100.8,97.8,3
2015,DAL,50,32,0.61,27-14,23-18,7-9,29-23,105.2,102.3,2.9
2015,TOR,49,33,0.598,27-14,22-19,11-5,33-19,104,100.9,3.1
2015,WSH,46,36,0.561,29-12,17-24,10-6,30-22,98.5,97.8,0.7
